2022-05-11 00:55:17.592  INFO [Bluewaterdataservice,e7cbac7fa8da5493,e7cbac7fa8da5493] 44624 --- [http-nio-8888-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:17.842  INFO [Bluewaterdataservice,1b505ac80e8abec4,1b505ac80e8abec4] 44624 --- [http-nio-8888-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:18.052  INFO [Bluewaterdataservice,83ee04c12bb4f091,83ee04c12bb4f091] 44624 --- [http-nio-8888-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:18.282  INFO [Bluewaterdataservice,f56d466d3c717327,f56d466d3c717327] 44624 --- [http-nio-8888-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:18.512  INFO [Bluewaterdataservice,5e2024df1fd4a63f,5e2024df1fd4a63f] 44624 --- [http-nio-8888-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:22.012  INFO [Bluewaterdataservice,c763fc0669a9f32f,c763fc0669a9f32f] 46728 --- [http-nio-8890-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:22.284  INFO [Bluewaterdataservice,10b4f04a767c4bcd,10b4f04a767c4bcd] 46728 --- [http-nio-8890-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:22.662  INFO [Bluewaterdataservice,336402a15a18c6e5,336402a15a18c6e5] 46728 --- [http-nio-8890-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:22.885  INFO [Bluewaterdataservice,782569d868d72256,782569d868d72256] 46728 --- [http-nio-8890-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:23.122  INFO [Bluewaterdataservice,20cf418f6e7edb16,20cf418f6e7edb16] 46728 --- [http-nio-8890-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:23.352  INFO [Bluewaterdataservice,dc979d106ef063cd,dc979d106ef063cd] 46728 --- [http-nio-8890-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:23.562  INFO [Bluewaterdataservice,42c65f2529c3e7f3,42c65f2529c3e7f3] 46728 --- [http-nio-8890-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:25.132  INFO [Bluewaterdataservice,0491c147cb0cd9c6,0491c147cb0cd9c6] 46728 --- [http-nio-8890-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:25.852  INFO [Bluewaterdataservice,7da5e0315d62765f,7da5e0315d62765f] 46728 --- [http-nio-8890-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:26.562  INFO [Bluewaterdataservice,11ccd9399ddc4bb1,11ccd9399ddc4bb1] 46728 --- [http-nio-8890-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:27.382  INFO [Bluewaterdataservice,00f8fa966422e229,00f8fa966422e229] 46728 --- [http-nio-8890-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:32.832  INFO [Bluewaterdataservice,9aaa9a39efec727d,9aaa9a39efec727d] 46728 --- [http-nio-8890-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:37.002  INFO [Bluewaterdataservice,0b35ffbaa5b31b87,0b35ffbaa5b31b87] 46728 --- [http-nio-8890-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:37.762  INFO [Bluewaterdataservice,7ebfd786d5df9810,7ebfd786d5df9810] 46728 --- [http-nio-8890-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:38.332  INFO [Bluewaterdataservice,5de41996cb9c9aad,5de41996cb9c9aad] 46728 --- [http-nio-8890-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:38.852  INFO [Bluewaterdataservice,a1c1fdb28f62ceca,a1c1fdb28f62ceca] 46728 --- [http-nio-8890-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:39.112  INFO [Bluewaterdataservice,e46c0c57f5dadd2b,e46c0c57f5dadd2b] 46728 --- [http-nio-8890-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:39.372  INFO [Bluewaterdataservice,30f3cb0696100db1,30f3cb0696100db1] 46728 --- [http-nio-8890-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:39.632  INFO [Bluewaterdataservice,97aae276d6a0f611,97aae276d6a0f611] 46728 --- [http-nio-8890-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:47.182  INFO [Bluewaterdataservice,1eae20957e9c55a3,1eae20957e9c55a3] 46728 --- [http-nio-8890-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:54.777  INFO [Bluewaterdataservice,c735a6e22dce2e40,6083f52d815f90fc] 38880 --- [http-nio-8889-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:56.872  INFO [Bluewaterdataservice,bbca7747734f5c60,61d52e086bf79a27] 46728 --- [http-nio-8890-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:57.752  INFO [Bluewaterdataservice,22b3d1dc711c1fe7,99a97dd1b8f3a201] 44624 --- [http-nio-8888-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:58.362  INFO [Bluewaterdataservice,17eb3bca0b447cbd,db2408eaaf1f5497] 38880 --- [http-nio-8889-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:58.862  INFO [Bluewaterdataservice,b0ab19f6d4eeb312,7de3753774acbfea] 46728 --- [http-nio-8890-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:55:59.362  INFO [Bluewaterdataservice,c40949012555dbe8,2ec7f41f9de2c524] 44624 --- [http-nio-8888-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:14.332  INFO [Bluewaterdataservice,8119aaa0215e3a8b,aa8f7250e3627519] 38880 --- [http-nio-8889-exec-6] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:14.852  INFO [Bluewaterdataservice,0a5fb636c8717c50,ed1ecf2a195f095d] 46728 --- [http-nio-8890-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:15.386  INFO [Bluewaterdataservice,af131c269a7b0270,55c6f81c31b859cc] 44624 --- [http-nio-8888-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:15.832  INFO [Bluewaterdataservice,9dba0d5274b4e20a,e8aa126b5f576940] 38880 --- [http-nio-8889-exec-7] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:16.322  INFO [Bluewaterdataservice,4736fc9222010f64,740d313ede0aa270] 46728 --- [http-nio-8890-exec-10] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:16.822  INFO [Bluewaterdataservice,fa8ba2b3e1df136a,466f4b2a792f4447] 44624 --- [http-nio-8888-exec-3] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:17.302  INFO [Bluewaterdataservice,52a1a10c46425d0d,945c6a032b9e8667] 38880 --- [http-nio-8889-exec-8] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:17.752  INFO [Bluewaterdataservice,129aced8939f7164,416e8919166341ce] 46728 --- [http-nio-8890-exec-1] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:18.182  INFO [Bluewaterdataservice,c80cf70f708e7a3c,41bd34fde45e7eac] 44624 --- [http-nio-8888-exec-4] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:18.512  INFO [Bluewaterdataservice,bd99ed616e9dcd20,961aef7e1e974d01] 38880 --- [http-nio-8889-exec-9] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:18.893  INFO [Bluewaterdataservice,69c05473536b1abd,1be73ec08b22d44f] 46728 --- [http-nio-8890-exec-2] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
2022-05-11 00:56:19.202  INFO [Bluewaterdataservice,06bffce935e98bec,9b03e80e562fd66e] 44624 --- [http-nio-8888-exec-5] c.b.d.b.MainController                   : Hello World from Bluewater main controller!
